DATE,DAY,TMIN,year,month
1906-02-09,9,-10.014288167776073,1906,2
1906-03-15,15,-9.514288167776073,1906,3
1906-04-05,5,-6.614288167776071,1906,4
1906-05-02,2,-5.514288167776072,1906,5
1906-06-06,6,-1.0142881677760718,1906,6
1906-07-01,1,-1.1142881677760714,1906,7
1906-08-28,28,1.5857118322239279,1906,8
1906-09-25,25,-3.614288167776072,1906,9
1906-10-15,15,-3.614288167776072,1906,10
1906-11-11,11,-8.114288167776072,1906,11
1906-12-29,29,-14.514288167776073,1906,12
1907-01-23,23,-19.314288167776073,1907,1
1907-02-02,2,-15.314288167776073,1907,2
1907-03-12,12,-8.514288167776073,1907,3
1907-04-20,20,-7.414288167776071,1907,4
1907-05-20,20,-5.714288167776072,1907,5
1907-06-18,18,0.1857118322239284,1907,6
1907-07-03,3,-0.714288167776072,1907,7
1907-08-25,25,1.3857118322239286,1907,8
1907-09-23,23,-3.9142881677760717,1907,9
1907-10-26,26,-2.514288167776072,1907,10
1907-11-23,23,-8.514288167776073,1907,11
1907-12-28,28,-10.814288167776072,1907,12
1908-01-03,3,-19.014288167776073,1908,1
1908-02-03,3,-10.014288167776073,1908,2
1908-03-02,2,-8.914288167776071,1908,3
1908-04-21,21,-8.314288167776072,1908,4
1908-05-24,24,-0.41428816777607214,1908,5
1908-06-08,8,-1.6142881677760714,1908,6
1908-07-06,6,2.585711832223928,1908,7
1908-08-12,12,0.28571183222392804,1908,8
1908-09-13,13,-0.8142881677760716,1908,9
1908-10-21,21,-9.814288167776072,1908,10
1908-11-09,9,-12.014288167776073,1908,11
1908-12-29,29,-20.814288167776073,1908,12
1909-01-26,26,-13.61428816777607,1909,1
1909-02-12,12,-14.714288167776072,1909,2
1909-03-05,5,-14.314288167776073,1909,3
1909-04-03,3,-8.414288167776071,1909,4
1909-05-14,14,-7.014288167776072,1909,5
1909-06-07,7,-0.714288167776072,1909,6
1909-07-03,3,2.285711832223929,1909,7
1909-08-23,23,1.9857118322239282,1909,8
1909-09-03,3,-0.8142881677760716,1909,9
1909-10-26,26,-5.414288167776072,1909,10
1909-11-20,20,-12.414288167776071,1909,11
1909-12-21,21,-9.914288167776071,1909,12
1910-01-26,26,-11.014288167776073,1910,1
1910-02-02,2,-12.014288167776073,1910,2
1910-03-31,31,-8.514288167776073,1910,3
1910-04-01,1,-7.914288167776071,1910,4
1910-05-05,5,-4.614288167776072,1910,5
1910-06-27,27,2.285711832223929,1910,6
1910-07-03,3,2.985711832223928,1910,7
1910-08-28,28,3.285711832223929,1910,8
1910-09-22,22,-4.014288167776072,1910,9
1910-10-15,15,-3.714288167776072,1910,10
1910-11-26,26,-10.214288167776072,1910,11
1910-12-28,28,-9.814288167776072,1910,12
1911-01-15,15,-15.61428816777607,1911,1
1911-02-01,1,-13.714288167776072,1911,2
1911-03-17,17,-7.614288167776072,1911,3
1911-04-06,6,-10.61428816777607,1911,4
1911-05-07,7,-2.614288167776072,1911,5
1911-06-11,11,-2.214288167776072,1911,6
1911-07-04,4,-0.3142881677760716,1911,7
1911-08-31,31,3.085711832223928,1911,8
1911-09-17,17,-1.5142881677760718,1911,9
1911-10-29,29,-5.914288167776072,1911,10
1911-11-26,26,-7.714288167776072,1911,11
1911-12-07,7,-5.914288167776072,1911,12
1912-01-28,28,-13.61428816777607,1912,1
1912-02-03,3,-20.41428816777607,1912,2
1912-03-08,8,-5.414288167776072,1912,3
1912-04-13,13,-7.114288167776072,1912,4
1912-05-01,1,-3.714288167776072,1912,5
1912-06-17,17,2.1857118322239275,1912,6
1912-07-20,20,3.1857118322239275,1912,7
1912-08-03,3,2.285711832223929,1912,8
1912-09-26,26,-4.314288167776072,1912,9
1912-10-07,7,-7.314288167776072,1912,10
1912-11-07,7,-7.514288167776072,1912,11
1912-12-01,1,-6.914288167776072,1912,12
1913-01-11,11,-10.11428816777607,1913,1
1913-02-20,20,-12.814288167776072,1913,2
1913-03-02,2,-7.814288167776072,1913,3
1913-04-14,14,-8.214288167776072,1913,4
1913-05-19,19,-1.8142881677760716,1913,5
1913-06-01,1,1.285711832223928,1913,6
1913-07-08,8,-0.6142881677760714,1913,7
1913-08-07,7,0.3857118322239286,1913,8
1913-09-11,11,0.6857118322239284,1913,9
1913-10-18,18,-5.614288167776071,1913,10
1913-11-24,24,-3.3142881677760716,1913,11
1913-12-20,20,-11.414288167776071,1913,12
1914-01-23,23,-17.61428816777607,1914,1
1914-02-26,26,-7.314288167776072,1914,2
1914-03-11,11,-6.514288167776072,1914,3
1914-04-16,16,-4.714288167776072,1914,4
1914-05-02,2,-5.914288167776072,1914,5
1914-06-04,4,-2.014288167776072,1914,6
1914-07-27,27,2.3857118322239286,1914,7
1914-08-19,19,3.285711832223929,1914,8
1914-09-23,23,0.28571183222392804,1914,9
1914-10-07,7,-4.114288167776072,1914,10
1914-11-23,23,-13.61428816777607,1914,11
1914-12-25,25,-12.214288167776072,1914,12
1915-01-29,29,-13.914288167776071,1915,1
1915-02-26,26,-11.014288167776073,1915,2
1915-03-29,29,-10.714288167776072,1915,3
1915-04-01,1,-6.914288167776072,1915,4
1915-05-15,15,-5.814288167776072,1915,5
1915-06-19,19,0.4857118322239282,1915,6
1915-07-19,19,1.8857118322239286,1915,7
1915-08-20,20,1.1857118322239284,1915,8
1915-09-04,4,-1.0142881677760718,1915,9
1915-10-23,23,-6.614288167776071,1915,10
1915-11-28,28,-16.41428816777607,1915,11
1915-12-13,13,-8.214288167776072,1915,12
1916-01-31,31,-7.514288167776072,1916,1
1916-02-23,23,-11.214288167776072,1916,2
1916-03-09,9,-9.114288167776072,1916,3
1916-04-09,9,-7.014288167776072,1916,4
1916-05-09,9,-4.314288167776072,1916,5
1916-06-20,20,-3.214288167776072,1916,6
1916-07-19,19,1.285711832223928,1916,7
1916-08-06,6,1.0857118322239279,1916,8
1916-09-19,19,-0.11428816777607143,1916,9
1916-10-21,21,-8.214288167776072,1916,10
1916-11-18,18,-9.714288167776072,1916,11
1916-12-01,1,-9.114288167776072,1916,12
1917-01-26,26,-19.014288167776073,1917,1
1917-02-02,2,-22.214288167776072,1917,2
1917-03-08,8,-12.714288167776072,1917,3
1917-04-02,2,-8.014288167776073,1917,4
1917-05-06,6,-2.8142881677760716,1917,5
1917-06-03,3,1.285711832223928,1917,6
1917-07-22,22,1.9857118322239282,1917,7
1917-08-21,21,3.285711832223929,1917,8
1917-09-30,30,-1.6142881677760714,1917,9
1917-10-28,28,-5.914288167776072,1917,10
1917-11-12,12,-6.814288167776072,1917,11
1917-12-23,23,-15.214288167776072,1917,12
1918-01-08,8,-14.914288167776071,1918,1
1918-02-17,17,-12.914288167776071,1918,2
1918-03-27,27,-10.714288167776072,1918,3
1918-04-20,20,-8.314288167776072,1918,4
1918-05-01,1,-1.714288167776072,1918,5
1918-06-16,16,-1.3142881677760716,1918,6
1918-07-05,5,1.5857118322239279,1918,7
1918-08-30,30,0.3857118322239286,1918,8
1918-09-29,29,-3.614288167776072,1918,9
1918-10-09,9,-4.614288167776072,1918,10
1918-11-18,18,-11.61428816777607,1918,11
1918-12-01,1,-7.814288167776072,1918,12
1919-01-31,31,-12.014288167776073,1919,1
1919-02-08,8,-19.814288167776073,1919,2
1919-03-25,25,-8.814288167776072,1919,3
1919-04-29,29,-8.714288167776072,1919,4
1919-05-01,1,-2.4142881677760717,1919,5
1919-06-22,22,-0.8142881677760716,1919,6
1919-07-15,15,-0.01428816777607178,1919,7
1919-08-25,25,-0.3142881677760716,1919,8
