time,observed,lower,median,upper,truth
313,26.88695201781697,26.456472383381858,26.746615565509686,26.898337100423188,26.87800000000007
314,27.033179140763927,26.408308734466555,26.73883139303596,26.904598284338903,26.88400000000007
315,24.117997248853595,26.44451753505885,26.75007583404205,26.913365604493062,26.89000000000007
316,28.19638665913063,26.45858359949261,26.764705213108677,26.92188583563615,26.896000000000072
317,27.82088368701444,26.459047513440762,26.76145688836153,26.923381836086048,26.902000000000072
318,23.875372735583685,26.492610371803327,26.784673019532896,26.929643020001762,26.908000000000072
319,29.50104044602095,26.455737154475322,26.770586109294012,26.937836134494052,26.914000000000076
320,25.0199305478868,26.462486404245407,26.782995342416214,26.947476974809124,26.920000000000076
321,28.116001873258607,26.482486359868297,26.785705075194883,26.948426571748907,26.926000000000077
322,29.989363611145823,26.49896928647863,26.804364990891287,26.954687755664622,26.932000000000077
323,24.835540490906013,26.562290164125255,26.823880135374168,26.962306664495042,26.938000000000077
324,28.08848881394008,26.548641925445324,26.82919621002211,26.976779040468294,26.944000000000077
325,24.603891413165066,26.61318134169763,26.849392822572945,26.974541929495537,26.950000000000077
326,27.68241347895734,26.658607468458012,26.872098237622485,26.988970928320583,26.956000000000078
327,28.400702370437152,26.685245303797224,26.882886202518144,26.992230030797096,26.962000000000074
328,24.67076959340741,26.718373689563084,26.900149465055016,27.01317453962722,26.968000000000075
329,26.35135299217283,26.748199184126012,26.909981201282804,27.009214072192115,26.974000000000075
330,25.588128705822413,26.759655485097294,26.918779571212816,27.03039530049226,26.980000000000075
331,26.930684919894528,26.78673446715991,26.93219376845572,27.035847208971155,26.986000000000075
332,29.301093949510207,26.83471013720152,26.953376183403428,27.074217168618933,26.992000000000075
333,29.730593661309552,26.82866529545126,26.952793445175686,27.067186057895903,26.99800000000008
334,26.74140235646033,26.876205785250086,26.977957813471498,27.108839484902084,27.00400000000008
335,25.737821526289785,26.86446745059133,26.975320209237076,27.092060439517308,27.01000000000008
336,28.1822742474558,26.896959852775062,26.997190386501938,27.13829026435218,27.01600000000008
337,29.13066015876432,26.91679390726271,27.009046608813602,27.140092154250855,27.02200000000008
338,26.360774486288964,26.93120065418405,27.01690792041946,27.156828841799612,27.02800000000008
339,25.4641043755182,26.93271865227981,27.010602773772224,27.13044795655601,27.03400000000008
340,26.82597875336939,26.938936181016906,27.01282270555206,27.13534826003301,27.04000000000008
341,28.26529738514168,26.939885717455823,27.011678887179386,27.121676003482566,27.04600000000008
342,28.477108347813964,26.897981884242924,27.02526078307126,27.172942223554607,27.05200000000008
343,27.732234110777025,26.909312031116013,27.023936303536225,27.134307463238233,27.05800000000008
344,28.807834549666293,26.912372530194084,27.027299172309142,27.14532634718581,27.06400000000008
345,26.34215052758857,26.927236491553263,27.014120832019266,27.118842697986576,27.07000000000008
