tag,model,q_true,rep,param,mean,sd,ess,tau_int,mcse
T500_P12_sig2.0_q1e-06_rep2,IG,1e-06,2,sigma,1.963461479361606,0.06296001202101958,1000.0,1.0,0.001990970394980028
T500_P12_sig2.0_q1e-06_rep2,IG,1e-06,2,Q_alpha(log10),0.003142128930406948,0.0012040840494480956,36.20069483170203,27.623779174654683,0.02645346031615186
T500_P12_sig2.0_q1e-06_rep2,PC,1e-06,2,sigma,1.9756073956045699,0.06465965119970853,250.42481535642924,3.9932144846616002,0.004085965321954157
T500_P12_sig2.0_q1e-06_rep2,PC,1e-06,2,Q_alpha(log10),2.004197770473291e-06,1.1266239047295904e-06,7.436097002918288,134.47914942577418,0.09508850209801228
T500_P12_sig2.0_q1e-06_rep2,PC,1e-06,2,lambda_alpha,2.0000994016063998,1.4161112966591913,1000.0,1.0,0.04478137117737437
T500_P12_sig2.0_q1e-06_rep3,IG,1e-06,3,sigma,1.963461479361606,0.06296001202101958,1000.0,1.0,0.001990970394980028
T500_P12_sig2.0_q1e-06_rep3,IG,1e-06,3,Q_alpha(log10),0.003142128930406948,0.0012040840494480956,36.20069483170203,27.623779174654683,0.02645346031615186
T500_P12_sig2.0_q1e-06_rep3,PC,1e-06,3,sigma,1.9756073956045699,0.06465965119970853,250.42481535642924,3.9932144846616002,0.004085965321954157
T500_P12_sig2.0_q1e-06_rep3,PC,1e-06,3,Q_alpha(log10),2.004197770473291e-06,1.1266239047295904e-06,7.436097002918288,134.47914942577418,0.09508850209801228
T500_P12_sig2.0_q1e-06_rep3,PC,1e-06,3,lambda_alpha,2.0000994016063998,1.4161112966591913,1000.0,1.0,0.04478137117737437
T500_P12_sig2.0_q1e-08_rep1,IG,1e-08,1,sigma,1.9971132585991314,0.06398239696735956,1000.0,1.0,0.002023301045739062
T500_P12_sig2.0_q1e-08_rep1,IG,1e-08,1,Q_alpha(log10),0.00595941623560606,0.002481060191198003,32.70226337920775,30.578923189634775,0.02997290670466843
T500_P12_sig2.0_q1e-08_rep1,PC,1e-08,1,sigma,2.029913464867199,0.06402935034994908,271.86749523969615,3.678262453252584,0.0038832956156186135
T500_P12_sig2.0_q1e-08_rep1,PC,1e-08,1,Q_alpha(log10),2.310182322380675e-08,1.294906277336859e-08,7.656820314701152,130.60251630562527,0.09140391121518154
T500_P12_sig2.0_q1e-08_rep1,PC,1e-08,1,lambda_alpha,2.002543757961906,1.4179080330902019,1000.0,1.0,0.044838188972144324
T500_P12_sig2.0_q1e-08_rep2,IG,1e-08,2,sigma,1.963627612318736,0.06297031259464879,1000.0,1.0,0.001991296127718774
T500_P12_sig2.0_q1e-08_rep2,IG,1e-08,2,Q_alpha(log10),0.003142255413132889,0.0012052697611107815,36.139808119149556,27.670318467189805,0.026499809142699022
T500_P12_sig2.0_q1e-08_rep2,PC,1e-08,2,sigma,1.9762247594394715,0.06346187728524887,337.6864638365565,2.961326872977679,0.0034534731897447645
T500_P12_sig2.0_q1e-08_rep2,PC,1e-08,2,Q_alpha(log10),2.310182322380675e-08,1.294906277336859e-08,7.656820314701152,130.60251630562527,0.09140391121518154
T500_P12_sig2.0_q1e-08_rep2,PC,1e-08,2,lambda_alpha,2.002543757961906,1.4179080330902019,1000.0,1.0,0.044838188972144324
T500_P12_sig2.0_q1e-08_rep3,IG,1e-08,3,sigma,1.963627612318736,0.06297031259464879,1000.0,1.0,0.001991296127718774
T500_P12_sig2.0_q1e-08_rep3,IG,1e-08,3,Q_alpha(log10),0.003142255413132889,0.0012052697611107815,36.139808119149556,27.670318467189805,0.026499809142699022
T500_P12_sig2.0_q1e-08_rep3,PC,1e-08,3,sigma,1.9762247594394715,0.06346187728524887,337.6864638365565,2.961326872977679,0.0034534731897447645
